Year,OPRHP Region,County,Facility,Attendance
2007,Long Island,Suffolk,Caleb Smith State Park,27595
2006,Long Island,Suffolk,Caleb Smith State Park,26950
2005,Long Island,Suffolk,Caleb Smith State Park,32942
2004,Long Island,Suffolk,Caleb Smith State Park,33849
2003,Long Island,Suffolk,Caleb Smith State Park,31716
2020,Long Island,Suffolk,Camp Hero,397156
2019,Long Island,Suffolk,Camp Hero,286671
2018,Long Island,Suffolk,Camp Hero,257965
2017,Long Island,Suffolk,Camp Hero,305207
2016,Long Island,Suffolk,Camp Hero,172560
2015,Long Island,Suffolk,Camp Hero,107555
2014,Long Island,Suffolk,Camp Hero,114995
2013,Long Island,Suffolk,Camp Hero,103255
2012,Long Island,Suffolk,Camp Hero,121585
2011,Long Island,Suffolk,Camp Hero,123210
2010,Long Island,Suffolk,Camp Hero,137945
2009,Long Island,Suffolk,Camp Hero,182625
2008,Long Island,Suffolk,Camp Hero,178750
2007,Long Island,Suffolk,Camp Hero,171735
2006,Long Island,Suffolk,Camp Hero,153480
2005,Long Island,Suffolk,Camp Hero,131990
2004,Long Island,Suffolk,Camp Hero,135274
2003,Long Island,Suffolk,Camp Hero,126985
2020,Finger Lakes,Ontario,Canadaigua Btlau Ontrio,53976
2019,Finger Lakes,Ontario,Canadaigua Btlau Ontrio,42005
2018,Finger Lakes,Wayne,Canadaigua Btlau Ontrio,47850
2017,Finger Lakes,Wayne,Canadaigua Btlau Ontrio,47525
2016,Finger Lakes,Wayne,Canadaigua Btlau Ontrio,44831
2015,Finger Lakes,Wayne,Canadaigua Btlau Ontrio,36761
2014,Finger Lakes,Wayne,Canadaigua Btlau Ontrio,43746
2013,Finger Lakes,Wayne,Canadaigua Btlau Ontrio,33987
2012,Finger Lakes,Wayne,Canadaigua Btlau Ontrio,36623
2011,Finger Lakes,Wayne,Canadaigua Btlau Ontrio,40029
2010,Finger Lakes,Wayne,Canadaigua Btlau Ontrio,47319
2009,Finger Lakes,Wayne,Canadaigua Btlau Ontrio,38843
2008,Finger Lakes,Wayne,Canadaigua Btlau Ontrio,45421
2007,Finger Lakes,Wayne,Canadaigua Btlau Ontrio,50008
2006,Finger Lakes,Wayne,Canadaigua Btlau Ontrio,46071
2005,Finger Lakes,Wayne,Canadaigua Btlau Ontrio,42478
2004,Finger Lakes,Wayne,Canadaigua Btlau Ontrio,39674
2003,Finger Lakes,Wayne,Canadaigua Btlau Ontrio,49894
2020,Central,Otsego,Canadarago Boat Lnch,24069
2019,Central,Otsego,Canadarago Boat Lnch,17129
2018,Central,Otsego,Canadarago Boat Lnch,17048
2017,Central,Otsego,Canadarago Boat Lnch,17206
2016,Central,Otsego,Canadarago Boat Lnch,19461
2015,Central,Otsego,Canadarago Boat Lnch,25325
2014,Central,Otsego,Canadarago Boat Lnch,23045
2013,Central,Otsego,Canadarago Boat Lnch,20674
2012,Central,Otsego,Canadarago Boat Lnch,22289
2011,Central,Otsego,Canadarago Boat Lnch,22209
2010,Central,Otsego,Canadarago Boat Lnch,19745
2009,Central,Otsego,Canadarago Boat Lnch,22927
2008,Central,Otsego,Canadarago Boat Lnch,19999
2007,Central,Otsego,Canadarago Boat Lnch,26562
2006,Central,Otsego,Canadarago Boat Lnch,42930
2005,Central,Otsego,Canadarago Boat Lnch,31280
2004,Central,Otsego,Canadarago Boat Lnch,28639
2003,Central,Otsego,Canadarago Boat Lnch,29158
2020,Thousand Islands,Jefferson,Canoe-Picnic Pnt River,8143
2019,Thousand Islands,Jefferson,Canoe-Picnic Pnt River,8744
2018,Thousand Islands,Jefferson,Canoe-Picnic Pnt River,9338
2017,Thousand Islands,Jefferson,Canoe-Picnic Pnt River,8540
2016,Thousand Islands,Jefferson,Canoe-Picnic Pnt River,6686
2015,Thousand Islands,Jefferson,Canoe-Picnic Pnt River,8723
2014,Thousand Islands,Jefferson,Canoe-Picnic Pnt River,7221
2013,Thousand Islands,Jefferson,Canoe-Picnic Pnt River,7588
2012,Thousand Islands,Jefferson,Canoe-Picnic Pnt River,10164
2011,Thousand Islands,Jefferson,Canoe-Picnic Pnt River,9497
2010,Thousand Islands,Jefferson,Canoe-Picnic Pnt River,6440
2009,Thousand Islands,Jefferson,Canoe-Picnic Pnt River,7159
2008,Thousand Islands,Jefferson,Canoe-Picnic Pnt River,8762
2007,Thousand Islands,Jefferson,Canoe-Picnic Pnt River,7540
2006,Thousand Islands,Jefferson,Canoe-Picnic Pnt River,6676
2005,Thousand Islands,Jefferson,Canoe-Picnic Pnt River,7783
2004,Thousand Islands,Jefferson,Canoe-Picnic Pnt River,13709
2003,Thousand Islands,Jefferson,Canoe-Picnic Pnt River,8835
2020,Long Island,Suffolk,Captree St Pk,1874492
2019,Long Island,Suffolk,Captree St Pk,1369277
2018,Long Island,Suffolk,Captree St Pk,1123681
2017,Long Island,Suffolk,Captree St Pk,1309053
2016,Long Island,Suffolk,Captree St Pk,1416791
2015,Long Island,Suffolk,Captree St Pk,1170881
2014,Long Island,Suffolk,Captree St Pk,1124776
2013,Long Island,Suffolk,Captree St Pk,1197621
2012,Long Island,Suffolk,Captree St Pk,1172952
2011,Long Island,Suffolk,Captree St Pk,1027378
2010,Long Island,Suffolk,Captree St Pk,1180972
2009,Long Island,Suffolk,Captree St Pk,1206441
2008,Long Island,Suffolk,Captree St Pk,1145106
2007,Long Island,Suffolk,Captree St Pk,1270892
2006,Long Island,Suffolk,Captree St Pk,1291318
2005,Long Island,Suffolk,Captree St Pk,1336222
2004,Long Island,Suffolk,Captree St Pk,1456140
2003,Long Island,Suffolk,Captree St Pk,2001188
2020,Long Island,Suffolk,Caumsett St Pk,914065
2019,Long Island,Suffolk,Caumsett St Pk,523476
2018,Long Island,Suffolk,Caumsett St Pk,505155
2017,Long Island,Suffolk,Caumsett St Pk,440201
2016,Long Island,Suffolk,Caumsett St Pk,457105
2015,Long Island,Suffolk,Caumsett St Pk,467506
2014,Long Island,Suffolk,Caumsett St Pk,460254
2013,Long Island,Suffolk,Caumsett St Pk,419887
2012,Long Island,Suffolk,Caumsett St Pk,402629
2011,Long Island,Suffolk,Caumsett St Pk,404727
2010,Long Island,Suffolk,Caumsett St Pk,408431
2009,Long Island,Suffolk,Caumsett St Pk,369890
2008,Long Island,Suffolk,Caumsett St Pk,330378
2007,Long Island,Suffolk,Caumsett St Pk,359194
2006,Long Island,Suffolk,Caumsett St Pk,279147
2005,Long Island,Suffolk,Caumsett St Pk,262707
2004,Long Island,Suffolk,Caumsett St Pk,307661
2003,Long Island,Suffolk,Caumsett St Pk,318412
2020,Finger Lakes,Seneca,Cayuga Lake St Pk,189991
2019,Finger Lakes,Seneca,Cayuga Lake St Pk,167289
2018,Finger Lakes,Seneca,Cayuga Lake St Pk,167862
2017,Finger Lakes,Seneca,Cayuga Lake St Pk,154293
2016,Finger Lakes,Seneca,Cayuga Lake St Pk,151156
2015,Finger Lakes,Seneca,Cayuga Lake St Pk,143384
2014,Finger Lakes,Seneca,Cayuga Lake St Pk,129415
2013,Finger Lakes,Seneca,Cayuga Lake St Pk,131723
2012,Finger Lakes,Seneca,Cayuga Lake St Pk,140311
2011,Finger Lakes,Seneca,Cayuga Lake St Pk,123112
2010,Finger Lakes,Seneca,Cayuga Lake St Pk,127860
2009,Finger Lakes,Seneca,Cayuga Lake St Pk,131391
2008,Finger Lakes,Seneca,Cayuga Lake St Pk,154610
2007,Finger Lakes,Seneca,Cayuga Lake St Pk,171363
2006,Finger Lakes,Seneca,Cayuga Lake St Pk,125124
2005,Finger Lakes,Seneca,Cayuga Lake St Pk,133516
2004,Finger Lakes,Seneca,Cayuga Lake St Pk,150499
2003,Finger Lakes,Seneca,Cayuga Lake St Pk,146702
2020,Thousand Islands,St Lawrence,Cedar Island River Park,1873
2019,Thousand Islands,St Lawrence,Cedar Island River Park,2126
2018,Thousand Islands,St Lawrence,Cedar Island River Park,1619
2017,Thousand Islands,St Lawrence,Cedar Island River Park,1576
2016,Thousand Islands,St Lawrence,Cedar Island River Park,1781
2015,Thousand Islands,St Lawrence,Cedar Island River Park,1862
2014,Thousand Islands,St Lawrence,Cedar Island River Park,1928
2013,Thousand Islands,St Lawrence,Cedar Island River Park,2125
2012,Thousand Islands,St Lawrence,Cedar Island River Park,2378
2011,Thousand Islands,St Lawrence,Cedar Island River Park,2074
2010,Thousand Islands,St Lawrence,Cedar Island River Park,1728
2009,Thousand Islands,St Lawrence,Cedar Island River Park,2649
2008,Thousand Islands,St Lawrence,Cedar Island River Park,1700
2007,Thousand Islands,St Lawrence,Cedar Island River Park,1635
2006,Thousand Islands,St Lawrence,Cedar Island River Park,2240
2005,Thousand Islands,St Lawrence,Cedar Island River Park,1940
2004,Thousand Islands,St Lawrence,Cedar Island River Park,2633
2003,Thousand Islands,St Lawrence,Cedar Island River Park,2799
2020,Thousand Islands,St Lawrence,Cedar Pnt River Park,72472
2019,Thousand Islands,St Lawrence,Cedar Pnt River Park,72059
2018,Thousand Islands,Jefferson,Cedar Pnt River Park,82941
2017,Thousand Islands,Jefferson,Cedar Pnt River Park,68284
2016,Thousand Islands,Jefferson,Cedar Pnt River Park,65584
2015,Thousand Islands,Jefferson,Cedar Pnt River Park,80670
2014,Thousand Islands,Jefferson,Cedar Pnt River Park,72601
2013,Thousand Islands,Jefferson,Cedar Pnt River Park,76809
2012,Thousand Islands,Jefferson,Cedar Pnt River Park,80928
2011,Thousand Islands,Jefferson,Cedar Pnt River Park,67931
2010,Thousand Islands,Jefferson,Cedar Pnt River Park,69894
2009,Thousand Islands,Jefferson,Cedar Pnt River Park,68376
2008,Thousand Islands,Jefferson,Cedar Pnt River Park,64354
2007,Thousand Islands,Jefferson,Cedar Pnt River Park,73080
2006,Thousand Islands,Jefferson,Cedar Pnt River Park,68543
2005,Thousand Islands,Jefferson,Cedar Pnt River Park,68438
2004,Thousand Islands,Jefferson,Cedar Pnt River Park,54019
2003,Thousand Islands,Jefferson,Cedar Pnt River Park,54952
2020,Thousand Islands,Jefferson,Chaumont Boat Launch,33299
2019,Thousand Islands,Jefferson,Chaumont Boat Launch,38766
2018,Thousand Islands,Jefferson,Chaumont Boat Launch,40869
2017,Thousand Islands,Jefferson,Chaumont Boat Launch,32014
2016,Thousand Islands,Jefferson,Chaumont Boat Launch,46875
2015,Thousand Islands,Jefferson,Chaumont Boat Launch,53399
2014,Thousand Islands,Jefferson,Chaumont Boat Launch,47549
2013,Thousand Islands,Jefferson,Chaumont Boat Launch,47791
2012,Thousand Islands,Jefferson,Chaumont Boat Launch,44361
2011,Thousand Islands,Jefferson,Chaumont Boat Launch,41958
2010,Thousand Islands,Jefferson,Chaumont Boat Launch,40971
2009,Thousand Islands,Jefferson,Chaumont Boat Launch,39875
2008,Thousand Islands,Jefferson,Chaumont Boat Launch,32415
2007,Thousand Islands,Jefferson,Chaumont Boat Launch,33315
2006,Thousand Islands,Jefferson,Chaumont Boat Launch,28714
2005,Thousand Islands,Jefferson,Chaumont Boat Launch,25893
2004,Thousand Islands,Jefferson,Chaumont Boat Launch,18336
2003,Thousand Islands,Jefferson,Chaumont Boat Launch,19606
2020,Central,Broome,Chenango Valley St Pk,208114
2019,Central,Broome,Chenango Valley St Pk,214454
2018,Central,Broome,Chenango Valley St Pk,218281
2017,Central,Broome,Chenango Valley St Pk,191550
2016,Central,Broome,Chenango Valley St Pk,198082
2015,Central,Broome,Chenango Valley St Pk,173758
2014,Central,Broome,Chenango Valley St Pk,173960
2013,Central,Broome,Chenango Valley St Pk,175187
2012,Central,Broome,Chenango Valley St Pk,170877
2011,Central,Broome,Chenango Valley St Pk,165728
2010,Central,Broome,Chenango Valley St Pk,176141
2009,Central,Broome,Chenango Valley St Pk,176323
2008,Central,Broome,Chenango Valley St Pk,175587
2007,Central,Broome,Chenango Valley St Pk,242138
2006,Central,Broome,Chenango Valley St Pk,207028
2005,Central,Broome,Chenango Valley St Pk,213353
2004,Central,Broome,Chenango Valley St Pk,214121
2003,Central,Broome,Chenango Valley St Pk,230349
2020,Saratoga/Capital,Rensselaer,Cherry Plain St Pk,29220
2019,Saratoga/Capital,Rensselaer,Cherry Plain St Pk,23790
2018,Saratoga/Capital,Rensselaer,Cherry Plain St Pk,23758
2017,Saratoga/Capital,Rensselaer,Cherry Plain St Pk,23438
2016,Saratoga,Rensselaer,Cherry Plain St Pk,14609
2015,Saratoga,Rensselaer,Cherry Plain St Pk,22877
2014,Saratoga,Rensselaer,Cherry Plain St Pk,23250
2013,Saratoga,Rensselaer,Cherry Plain St Pk,27640
2012,Saratoga,Rensselaer,Cherry Plain St Pk,37148
2011,Saratoga,Rensselaer,Cherry Plain St Pk,26442
2010,Saratoga,Rensselaer,Cherry Plain St Pk,24775
2009,Saratoga,Rensselaer,Cherry Plain St Pk,27155
2008,Saratoga,Rensselaer,Cherry Plain St Pk,29164
2007,Saratoga,Rensselaer,Cherry Plain St Pk,25956
2006,Saratoga,Rensselaer,Cherry Plain St Pk,17008
2005,Saratoga,Rensselaer,Cherry Plain St Pk,26685
2004,Saratoga,Rensselaer,Cherry Plain St Pk,16571
2003,Saratoga,Rensselaer,Cherry Plain St Pk,18814
2020,Finger Lakes,Wayne,Chimney Bluffs,101612
2019,Finger Lakes,Wayne,Chimney Bluffs,80599
2018,Finger Lakes,Wayne,Chimney Bluffs,71221
2017,Finger Lakes,Wayne,Chimney Bluffs,99100
2016,Finger Lakes,Wayne,Chimney Bluffs,84623
2015,Finger Lakes,Wayne,Chimney Bluffs,97099
2014,Finger Lakes,Wayne,Chimney Bluffs,117811
2013,Finger Lakes,Wayne,Chimney Bluffs,122764
2012,Finger Lakes,Wayne,Chimney Bluffs,151880
2011,Finger Lakes,Wayne,Chimney Bluffs,117802
2010,Finger Lakes,Wayne,Chimney Bluffs,109184
2009,Finger Lakes,Wayne,Chimney Bluffs,84182
2008,Finger Lakes,Wayne,Chimney Bluffs,74254
2007,Finger Lakes,Wayne,Chimney Bluffs,81609
2006,Finger Lakes,Wayne,Chimney Bluffs,66686
2005,Finger Lakes,Wayne,Chimney Bluffs,54024
2004,Finger Lakes,Wayne,Chimney Bluffs,35737
2003,Finger Lakes,Wayne,Chimney Bluffs,35184
2020,Central,Madison,Chittenango Fls St Pk,357519
2019,Central,Madison,Chittenango Fls St Pk,194257
2018,Central,Madison,Chittenango Fls St Pk,115175
2017,Central,Madison,Chittenango Fls St Pk,103342
2016,Central,Madison,Chittenango Fls St Pk,75837
2015,Central,Madison,Chittenango Fls St Pk,54712
2014,Central,Madison,Chittenango Fls St Pk,46988
2013,Central,Madison,Chittenango Fls St Pk,38859
2012,Central,Madison,Chittenango Fls St Pk,36928
2011,Central,Madison,Chittenango Fls St Pk,40639
2010,Central,Madison,Chittenango Fls St Pk,37852
2009,Central,Madison,Chittenango Fls St Pk,47258
2008,Central,Madison,Chittenango Fls St Pk,40234
2007,Central,Madison,Chittenango Fls St Pk,42210
2006,Central,Madison,Chittenango Fls St Pk,41117
2005,Central,Madison,Chittenango Fls St Pk,41747
2004,Central,Madison,Chittenango Fls St Pk,46834
2003,Central,Madison,Chittenango Fls St Pk,43945
2016,Central,Broome,Chittengo Lndg,0
2015,Central,Broome,Chittengo Lndg,0
2014,Central,Broome,Chittengo Lndg,0
2013,Central,Broome,Chittengo Lndg,0
2012,Central,Broome,Chittengo Lndg,0
2011,Central,Broome,Chittengo Lndg,0
2010,Central,Broome,Chittengo Lndg,0
2009,Central,Broome,Chittengo Lndg,0
2008,Central,Broome,Chittengo Lndg,0
2007,Central,Broome,Chittengo Lndg,0
2006,Central,Broome,Chittengo Lndg,0
2005,Central,Broome,Chittengo Lndg,392
2004,Central,Broome,Chittengo Lndg,4761
2003,Central,Broome,Chittengo Lndg,4362
2020,Taconic,Putnam,Clarence Fahnestock,325021
2019,Taconic,Putnam,Clarence Fahnestock,312606
2018,Taconic,Putnam,Clarence Fahnestock,266258
2017,Taconic,Putnam,Clarence Fahnestock,302634
2016,Taconic,Putnam,Clarence Fahnestock,191855
2015,Taconic,Putnam,Clarence Fahnestock,284326
2014,Taconic,Putnam,Clarence Fahnestock,285464
2013,Taconic,Putnam,Clarence Fahnestock,270425
2012,Taconic,Putnam,Clarence Fahnestock,268393
2011,Taconic,Putnam,Clarence Fahnestock,262504
2010,Taconic,Putnam,Clarence Fahnestock,234817
2009,Taconic,Putnam,Clarence Fahnestock,212171
2008,Taconic,Putnam,Clarence Fahnestock,204923
2007,Taconic,Putnam,Clarence Fahnestock,211262
2006,Taconic,Putnam,Clarence Fahnestock,193288
2005,Taconic,Putnam,Clarence Fahnestock,199975
2004,Taconic,Putnam,Clarence Fahnestock,163330
2003,Taconic,Putnam,Clarence Fahnestock,158102
2020,Central,Onondaga,Clark Reservation,233653
2019,Central,Onondaga,Clark Reservation,163346
2018,Central,Onondaga,Clark Reservation,132044
2017,Central,Onondaga,Clark Reservation,114891
2016,Central,Onondaga,Clark Reservation,81771
2015,Central,Onondaga,Clark Reservation,73697
2014,Central,Onondaga,Clark Reservation,68371
2013,Central,Onondaga,Clark Reservation,55704
2012,Central,Onondaga,Clark Reservation,44281
2011,Central,Onondaga,Clark Reservation,46319
2010,Central,Onondaga,Clark Reservation,29814
2009,Central,Onondaga,Clark Reservation,37186
2008,Central,Onondaga,Clark Reservation,29609
2007,Central,Onondaga,Clark Reservation,36132
2006,Central,Onondaga,Clark Reservation,46762
2005,Central,Onondaga,Clark Reservation,50642
2004,Central,Onondaga,Clark Reservation,51668
2003,Central,Onondaga,Clark Reservation,51770
2020,New York City,Richmond,Clay Pit Ponds,44728
2019,New York City,Richmond,Clay Pit Ponds,47060
2018,New York City,Richmond,Clay Pit Ponds,44113
2017,New York City,Richmond,Clay Pit Ponds,43201
2016,New York City,Richmond,Clay Pit Ponds,33931
2015,New York City,Richmond,Clay Pit Ponds,29903
2014,New York City,Richmond,Clay Pit Ponds,25343
2013,New York City,Richmond,Clay Pit Ponds,56320
2012,New York City,Richmond,Clay Pit Ponds,42191
2011,New York City,Richmond,Clay Pit Ponds,61444
2010,New York City,Richmond,Clay Pit Ponds,61772
2009,New York City,Richmond,Clay Pit Ponds,62398
2008,New York City,Richmond,Clay Pit Ponds,54827
2007,New York City,Richmond,Clay Pit Ponds,56735
2006,New York City,Richmond,Clay Pit Ponds,52911
2005,New York City,Richmond,Clay Pit Ponds,42126
2004,New York City,Richmond,Clay Pit Ponds,38379
2003,New York City,Richmond,Clay Pit Ponds,41888
2020,Taconic,Columbia,Clermont,177086
2019,Taconic,Columbia,Clermont,92759
2018,Taconic,Columbia,Clermont,89424
2017,Taconic,Columbia,Clermont,84323
